[2023-10-29T13:43:28.823] [INFO] ma-core - Running Sync Shift 2PM UTC
[2023-10-29T13:43:46.955] [INFO] ma-core - add new shifts success /api/shift/sync PATCH ::ffff:127.0.0.1
[2023-10-29T13:43:46.974] [INFO] ma-core - sync shift success /api/shift/sync PATCH ::ffff:127.0.0.1
[2023-10-29T13:43:47.153] [INFO] ma-core - {"message":"Shift sync success"}
[2023-10-29T13:43:47.608] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.610] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.613] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.615] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.622] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.624] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.625] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.627] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.629] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.639] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.642] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.644] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.646] [INFO] ma-core - cron shift unassigned : startdate before now
[2023-10-29T13:43:47.652] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.654] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.656] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.658] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.660] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.663] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.665] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.668] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.670] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.672] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.673] [INFO] ma-core - cron shift unassigned : startdate before now
[2023-10-29T13:43:47.674] [INFO] ma-core - cron shift unassigned : startdate before now
[2023-10-29T13:43:47.675] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.677] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.678] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.679] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.696] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.699] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.702] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.704] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.706] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.708] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.709] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.712] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.713] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.715] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.718] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.720] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.723] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.725] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.727] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.729] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.730] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.732] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.733] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.736] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.753] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.755] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.757] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.760] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.762] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.765] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.766] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.768] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-29T13:43:47.771] [INFO] ma-core - Shift Unassigned reminder cron launched
