[2023-10-30T07:49:41.216] [INFO] ma-core - Running Sync Shift 2PM UTC
[2023-10-30T07:49:54.124] [INFO] ma-core - add new shifts success /api/shift/sync PATCH ::ffff:127.0.0.1
[2023-10-30T07:49:54.154] [INFO] ma-core - sync shift success /api/shift/sync PATCH ::ffff:127.0.0.1
[2023-10-30T07:49:54.612] [INFO] ma-core - {"message":"Shift sync success"}
[2023-10-30T07:49:55.002] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.006] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.007] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.011] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.014] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.015] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.038] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.040] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.042] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.044] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.046] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.047] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.051] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.053] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.057] [INFO] ma-core - cron shift unassigned : startdate before now
[2023-10-30T07:49:55.065] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.071] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.077] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.082] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.098] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.104] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.110] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.118] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.125] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.135] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.140] [INFO] ma-core - cron shift unassigned : startdate before now
[2023-10-30T07:49:55.147] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.153] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.156] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.159] [INFO] ma-core - cron shift unassigned : startdate before now
[2023-10-30T07:49:55.163] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.169] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.178] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.185] [INFO] ma-core - cron shift unassigned : startdate before now
[2023-10-30T07:49:55.188] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.191] [INFO] ma-core - Shift Unassigned reminder cron launched
[2023-10-30T07:49:55.196] [INFO] ma-core - Shift Unassigned reminder cron launched
