[2021-11-30T09:29:37.076] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:30:43.721] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:33:44.191] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:35:10.414] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:36:41.530] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:36:46.520] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:36:48.293] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:37:19.828] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:37:22.899] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:37:24.056] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:37:36.685] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:37:47.119] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:03.369] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:07.496] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:08.724] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:10.557] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:13.529] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:16.125] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:17.466] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:20.491] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:22.211] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:23.658] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:25.529] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:28.649] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:31.262] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:32.441] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:47:45.965] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:51:01.725] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:51:39.930] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:52:08.369] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:52:10.167] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:52:11.192] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:52:19.128] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:52:28.019] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:52:29.370] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:54:03.042] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:54:37.764] [TRACE] ma-core - A user connected, Total users connected is: 
[2021-11-30T09:54:51.616] [TRACE] ma-core - A user connected, Total users connected is: 
